test_id, env, mode, algo_trans, algo_cong, loss_rate, delay, size, time, recv_total, throughput, traffic_util,
1, mock, upload, GBN, Reno, 5%, /, 1410801, 244.372s, 2930823, 5773.18B/s, 0.4814,
2, mock, upload, GBN, Reno, 10%, /, 1410801, 259.986s, 2786745, 5426.46B/s, 0.5063,
3, mock, upload, GBN, Reno, 20%, /, 1410801, 280.011s, 2588121, 5038.38B/s, 0.5451,
4, mock, upload, GBN, Reno, 1%, /, 1410801, 232.095s, 3116415, 6078.54B/s, 0.4527,
5, mock, upload, SR, Reno, 5%, /, 1410801, 12.101s, 1435497, 116586.08B/s, 0.9828,
6, mock, upload, SR, Reno, 10%, /, 1410801, 18.378s, 1435497, 76767.33B/s, 0.9828,
7, mock, upload, SR, Reno, 20%, /, 1410801, 46.590s, 1435497, 30281.42B/s, 0.9828,
8, mock, upload, SR, Reno, 1%, /, 1410801, 2.918s, 1435497, 483423.09B/s, 0.9828,
9, mock, download, SR, Reno, 5%, /, 1410801, 10.535s, 1522188, 133910.87B/s, 0.9268,
10, mock, download, SR, Reno, 10%, /, 1410801, 18.147s, 1588122, 77743.66B/s, 0.8883,
11, mock, download, SR, Reno, 20%, /, 1410801, 48.196s, 1826217, 29272.36B/s, 0.7725,
12, mock, download, SR, Reno, 1%, /, 1410801, 2.844s, 1452591, 496121.08B/s, 0.9712,
13, mock, download, SR, Vegas, 5%, /, 1410801, 12.901s, 1507536, 109353.73B/s, 0.9358,
14, mock, download, SR, Vegas, 10%, /, 1410801, 28.262s, 1603995, 49918.72B/s, 0.8796,
15, mock, download, SR, Vegas, 20%, /, 1410801, 59.703s, 1785924, 23630.29B/s, 0.7900,
16, mock, download, SR, Vegas, 1%, /, 1410801, 3.160s, 1451370, 446406.99B/s, 0.9720,
17, mock, download, SR, Reno, 5%, 10ms 1ms 10%, 1410801, 10.883s, 1502652, 129632.90B/s, 0.9389,
18, mock, download, SR, Reno, 5%, 10ms 1ms 30%, 1410801, 17.035s, 1527072, 82818.84B/s, 0.9239,
19, mock, download, SR, Reno, 5%, 50ms 1ms 10%, 1410801, 21.133s, 1501431, 66576.95B/s, 0.9396,
20, mock, download, SR, Reno, 5%, 10ms 5ms 10%, 1410801, 15.435s, 1524630, 91400.29B/s, 0.9253,

